name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),274
anatomical_structure,470,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),199
,,part of(P361),anatomical_structure(wd:Q4936952),265
binding_site,76,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),220
biological_pathway,425,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),26
,,has part(s)(P527),medication(wd:Q12140),427
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),414
,,medical condition(P1050),disease(wd:Q12136),0
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),15008
,,has part(s)(P527),chemical_compound(wd:Q11173),1643
,,part of(P361),biological_pathway(wd:Q4915012),26
,,part of(P361),medication(wd:Q12140),0
biological_process,31263,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),9912
,,has part(s)(P527),biological_process(wd:Q2996394),7109
,,part of(P361),biological_process(wd:Q2996394),7313
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),0
,,subclass of(P279),biological_process(wd:Q2996394),58138
,,has part(s)(P527),chemical_compound(wd:Q11173),0
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),27
,,part of(P361),medication(wd:Q12140),0
cellular_component,4017,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),1612
,,cell component(P681),cellular_component(wd:Q5058355),0
,,part of(P361),cellular_component(wd:Q5058355),1947
,,subclass of(P279),cellular_component(wd:Q5058355),5878
chemical_compound,156718,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1793
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),262
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),5
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),0
chromosome,149,,,
disease,9578,,,
,,anatomical location(P927),anatomical_structure(wd:Q4936952),70
