name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),273
anatomical_structure,614,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),230
,,part of(P361),anatomical_structure(wd:Q4936952),312
binding_site,76,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),219
biological_pathway,2929,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),2261
,,has part(s)(P527),medication(wd:Q12140),804
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),2917
,,medical condition(P1050),disease(wd:Q12136),0
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),28199
,,has part(s)(P527),chemical_compound(wd:Q11173),3257
,,part of(P361),biological_pathway(wd:Q4915012),2200
,,part of(P361),medication(wd:Q12140),0
biological_process,42058,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),8902
,,has part(s)(P527),biological_process(wd:Q2996394),248
,,part of(P361),biological_process(wd:Q2996394),5448
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),3644
,,subclass of(P279),biological_process(wd:Q2996394),57698
,,has part(s)(P527),chemical_compound(wd:Q11173),9351
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),838
,,part of(P361),medication(wd:Q12140),0
cellular_component,4239,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),182
,,cell component(P681),cellular_component(wd:Q5058355),0
,,part of(P361),cellular_component(wd:Q5058355),1461
,,subclass of(P279),cellular_component(wd:Q5058355),6074
chemical_compound,157685,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1728
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),36
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),488
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),6
chromosome,432,,,
disease,11439,,,
