name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),265
anatomical_structure,732,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),254
,,part of(P361),anatomical_structure(wd:Q4936952),337
binding_site,77,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),217
biological_pathway,3279,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),2474
,,has part(s)(P527),medication(wd:Q12140),953
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),3255
,,medical condition(P1050),disease(wd:Q12136),308
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),32602
,,has part(s)(P527),chemical_compound(wd:Q11173),4080
,,part of(P361),biological_pathway(wd:Q4915012),2482
,,part of(P361),medication(wd:Q12140),0
biological_process,43417,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),8968
,,has part(s)(P527),biological_process(wd:Q2996394),296
,,part of(P361),biological_process(wd:Q2996394),5552
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),1427
,,subclass of(P279),biological_process(wd:Q2996394),58311
,,has part(s)(P527),chemical_compound(wd:Q11173),13208
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),837
,,part of(P361),medication(wd:Q12140),0
cellular_component,4298,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),192
,,cell component(P681),cellular_component(wd:Q5058355),0
,,part of(P361),cellular_component(wd:Q5058355),2248
,,subclass of(P279),cellular_component(wd:Q5058355),4862
chemical_compound,1050488,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1487
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),33
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),1656
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),13
chromosome,9167,,,
disease,13197,,,
