name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),263
anatomical_structure,738,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),198
,,part of(P361),anatomical_structure(wd:Q4936952),272
binding_site,77,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),217
biological_pathway,3429,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),2565
,,has part(s)(P527),medication(wd:Q12140),1007
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),3405
,,medical condition(P1050),disease(wd:Q12136),37
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),34445
,,has part(s)(P527),chemical_compound(wd:Q11173),4390
,,part of(P361),biological_pathway(wd:Q4915012),2573
,,part of(P361),medication(wd:Q12140),0
biological_process,42061,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),8565
,,has part(s)(P527),biological_process(wd:Q2996394),260
,,part of(P361),biological_process(wd:Q2996394),5097
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),1235
,,subclass of(P279),biological_process(wd:Q2996394),54712
,,has part(s)(P527),chemical_compound(wd:Q11173),13432
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),818
,,part of(P361),medication(wd:Q12140),0
cellular_component,4137,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),185
,,cell component(P681),cellular_component(wd:Q5058355),3
,,part of(P361),cellular_component(wd:Q5058355),2127
,,subclass of(P279),cellular_component(wd:Q5058355),4680
chemical_compound,1201719,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1481
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),34
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),1752
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),15
chromosome,9224,,,
disease,5395,,,
