name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),263
anatomical_structure,812,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),203
,,part of(P361),anatomical_structure(wd:Q4936952),288
binding_site,77,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),217
biological_pathway,3486,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),2565
,,has part(s)(P527),medication(wd:Q12140),1024
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),3461
,,medical condition(P1050),disease(wd:Q12136),55
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),37746
,,has part(s)(P527),chemical_compound(wd:Q11173),4783
,,part of(P361),biological_pathway(wd:Q4915012),2572
,,part of(P361),medication(wd:Q12140),0
biological_process,41857,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),8531
,,has part(s)(P527),biological_process(wd:Q2996394),260
,,part of(P361),biological_process(wd:Q2996394),5059
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),1230
,,subclass of(P279),biological_process(wd:Q2996394),54172
,,has part(s)(P527),chemical_compound(wd:Q11173),13561
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),797
,,part of(P361),medication(wd:Q12140),0
cellular_component,4139,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),188
,,cell component(P681),cellular_component(wd:Q5058355),1
,,part of(P361),cellular_component(wd:Q5058355),2124
,,subclass of(P279),cellular_component(wd:Q5058355),4679
chemical_compound,1245041,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1478
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),56
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),1917
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),16
chromosome,9223,,,
disease,5607,,,
