name,value,prop,propType,value
active_site,132,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),271
anatomical_structure,483,,,
,,has part(s)(P527),anatomical_structure(wd:Q4936952),198
,,part of(P361),anatomical_structure(wd:Q4936952),271
binding_site,76,,,
,,has part(s)(P527),protein_family(wd:Q417841),0
,,part of(P361),protein_family(wd:Q417841),219
biological_pathway,2754,,,
,,has part(s)(P527),biological_pathway(wd:Q4915012),2169
,,has part(s)(P527),medication(wd:Q12140),694
,,part of(P361),gene(wd:Q7187),0
,,found in taxon(P703),taxon(wd:Q16521),2744
,,medical condition(P1050),disease(wd:Q12136),0
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),gene(wd:Q7187),25080
,,has part(s)(P527),chemical_compound(wd:Q11173),2912
,,part of(P361),biological_pathway(wd:Q4915012),2116
,,part of(P361),medication(wd:Q12140),0
biological_process,31222,,,
,,regulates (molecular biology)(P128),biological_process(wd:Q2996394),9912
,,has part(s)(P527),biological_process(wd:Q2996394),6923
,,part of(P361),biological_process(wd:Q2996394),7151
,,part of(P361),chemical_compound(wd:Q11173),0
,,has part(s)(P527),medication(wd:Q12140),1
,,subclass of(P279),biological_process(wd:Q2996394),58056
,,has part(s)(P527),chemical_compound(wd:Q11173),1
,,regulates (molecular biology)(P128),molecular_function(wd:Q14860489),83
,,part of(P361),medication(wd:Q12140),0
cellular_component,4081,,,
,,has part(s)(P527),cellular_component(wd:Q5058355),1624
,,cell component(P681),cellular_component(wd:Q5058355),0
,,part of(P361),cellular_component(wd:Q5058355),1962
,,subclass of(P279),cellular_component(wd:Q5058355),5975
chemical_compound,157018,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1807
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,has part(s)(P527),medication(wd:Q12140),264
,,stereoisomer of(P3364),chemical_compound(wd:Q11173),6
,,pregnancy category(P3489),disease(wd:Q12136),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
,,part of(P361),medication(wd:Q12140),4
chromosome,152,,,
disease,9926,,,
